,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure
56,39.4811950683594,0.4654682656781757,4.170091689932017,5,forte,Quinto,990.7116
57,40.21444091796877,0.4580283311609534,4.7056931167769225,5,forte,Quinto,989.405
58,39.2412048339844,0.4546666779991224,5.591468917908203,5,forte,Quinto,988.1717
59,37.95998535156252,0.4511432086701989,5.095669239431171,5,forte,Quinto,987.68625
61,36.23110351562502,0.4542614706484585,7.442485069072462,5,forte,Quinto,986.5766
62,33.59188232421877,0.4621337225710655,6.435492564896572,5,forte,Quinto,986.8877
67,23.20308837890628,0.5175158728330561,6.580291435464711,5,forte,Quinto,990.1886
69,22.617303466796898,0.5255505379401689,4.069699768090425,5,forte,Quinto,989.5283
130,31.921228027343773,0.5108007946057488,8.962258948860056,5,forte,Quinto,986.4862
133,32.35274658203127,0.5004007630951328,7.8108017219668255,5,forte,Quinto,985.1383
135,28.334313964843773,0.519251961539696,6.160782399055541,3,forte,Terceiro,986.3346
302,28.829034423828148,0.5092295038464622,3.2478337443635654,3,forte,Terceiro,983.6444
337,27.170983886718773,0.5004990425401001,4.217447876608321,3,forte,Terceiro,987.7173
346,38.75002441406252,0.4662141668197457,5.920504001163302,6,forte,Sexto,984.9711
347,35.82991943359377,0.4637555189078671,3.346873332522081,6,extremo,Sexto,984.7133
349,34.85857543945315,0.4652044736371266,4.923061870796377,8,muito_forte,Oitavo,984.6533
351,27.75362548828128,0.5081961276137171,3.155127912156643,5,forte,Quinto,985.853
530,12.003045654296898,0.481911237646505,6.581523433149438,5,extremo,Quinto,996.44016
531,13.089807128906273,0.4876371740386429,4.71377024761309,5,muito_forte,Quinto,997.15125
547,14.540338134765648,0.4664062835366785,8.286314519714043,5,forte,Quinto,996.503
548,13.939599609375025,0.4692817936752168,8.173574084548791,5,forte,Quinto,995.8709
549,13.494531250000025,0.4714286402617586,8.060652145361995,5,muito_forte,Quinto,995.4803
550,13.028070068359398,0.4736832603530292,7.636224508950933,5,muito_forte,Quinto,995.60516
551,12.544030761718773,0.4768046823308549,7.059010934489491,5,extremo,Quinto,995.81984
628,30.312371826171898,0.5032095154244959,2.1159919701620744,4,forte,Quarto,988.0076
629,35.13564453125002,0.4963836010967061,1.915086458097243,4,forte,Quarto,988.137
633,39.57061157226565,0.4757928695538411,5.68891103759825,5,forte,Quinto,985.3484
634,38.3437438964844,0.4764266781880639,6.400880709164894,5,forte,Quinto,983.7668
635,36.69704589843752,0.4665783484127603,6.119916086604436,5,forte,Quinto,983.0478
637,35.37734375000002,0.4665760388567156,6.786703641114863,5,forte,Quinto,982.8616
638,33.24578247070315,0.4675055604094809,5.63247039159783,5,forte,Quinto,982.7498
818,11.515771484375025,0.4941723761272258,3.874572385114706,5,muito_forte,Quinto,993.9275
819,13.049645996093773,0.4932430492591757,2.6354313003689125,5,forte,Quinto,994.3628
828,17.420068359375023,0.4709204371717517,6.126124735293842,5,forte,Quinto,994.5664
833,16.112725830078148,0.4751473685757127,4.927690446705465,5,forte,Quinto,994.8716
834,15.048486328125025,0.4703643053638888,3.381619702497306,5,forte,Quinto,994.54734
835,14.223016357421898,0.4698258865305217,2.5681375858579183,5,forte,Quinto,994.0675
836,13.563012695312525,0.4741509527628607,2.507898739450993,5,forte,Quinto,993.6006
837,12.870812988281273,0.482392083973414,3.518908915302056,6,forte,Sexto,993.07266
838,12.356744384765648,0.4869276903517015,3.7207017972147822,6,muito_forte,Sexto,993.0644
839,11.916680908203148,0.4899141446083173,3.727396560128535,5,muito_forte,Quinto,993.25875
912,27.388818359375023,0.4973844966003677,3.6763484724907616,7,forte,Sétimo,984.9343
913,26.508691406250023,0.5049352341434634,4.4369060555411135,7,forte,Sétimo,986.5099
924,25.948815917968773,0.5090729102829636,5.47325179023547,7,forte,Sétimo,987.2832
929,25.5285583496094,0.5151755340685434,7.3571768468739505,7,forte,Sétimo,987.2579
1105,19.809197998046898,0.4632046252295485,5.681001685820656,4,muito_forte,Quarto,992.0801
1106,12.804162597656273,0.490037081491625,4.4490567963825445,1,forte,Primeiro,991.41305
1116,18.073876953125023,0.4685770920877114,5.264132144748363,3,muito_forte,Terceiro,991.9862
1121,16.818780517578148,0.4727553184049518,4.99618911989914,3,forte,Terceiro,992.3359
1122,15.881433105468773,0.4777769286083775,5.104310509777501,3,forte,Terceiro,992.15734
1123,15.133874511718773,0.4828950380885353,5.3116107470304454,2,forte,Segundo,991.6607
1124,14.504357910156273,0.4873331194083257,5.54973662375593,2,forte,Segundo,991.0595
1125,14.005426025390648,0.4892023126762892,5.2233241859850175,2,forte,Segundo,990.93
1126,13.554284667968773,0.4899906253740102,4.949556836267365,2,forte,Segundo,990.6524
1127,13.144189453125025,0.4907789642237001,4.876034000395795,1,forte,Primeiro,991.1728
1208,43.28469238281252,0.4564865647772517,4.54041926485786,5,forte,Quinto,985.4691
1209,44.10787353515627,0.4491920861627994,6.067591184918104,5,forte,Quinto,983.8351
1222,24.571435546875023,0.5186247560978864,4.808612259186946,8,forte,Oitavo,984.8569
1223,24.1664978027344,0.5258340213994364,4.27440990858288,1,forte,Primeiro,985.1081
1250,21.041345214843773,0.5340921388573553,5.0391876217921645,8,forte,Oitavo,987.1242
1268,22.320153808593773,0.5261466139748872,6.580850022568541,8,forte,Oitavo,986.6089
1269,21.70772705078128,0.5268376863543589,6.3980379810419326,8,forte,Oitavo,986.2611
1270,21.492761230468773,0.5295271425362595,6.060445328143564,8,forte,Oitavo,986.42055
1271,21.13765869140628,0.532780534732945,5.718004429703013,8,forte,Oitavo,986.7347
1281,29.035913085937523,0.5183103214038212,8.57472609584799,5,forte,Quinto,987.21266
1392,23.867028808593773,0.4382418286293973,7.940630691115924,3,forte,Terceiro,989.1053
1393,22.259149169921898,0.4435868791321613,8.14600933625869,3,extremo,Terceiro,989.48484
1404,20.91109619140628,0.4498195896304521,8.214332193650534,2,extremo,Segundo,989.47875
1409,19.774743652343773,0.4560077972069434,8.165385171783972,2,extremo,Segundo,989.9083
1410,18.79366455078128,0.4618970779759849,8.159359546180887,2,muito_forte,Segundo,989.9817
1411,18.01632080078128,0.46629673571596,8.235492380916941,2,forte,Segundo,989.6028
1412,17.491479492187523,0.4682819853809702,8.2002928380065,2,forte,Segundo,989.1317
1498,44.92073974609377,0.4404199343689359,3.080323658713683,1,forte,Primeiro,983.2145
1538,22.040917968750023,0.5266093562989075,1.1570046424543077,5,forte,Quinto,985.37195
1558,22.750634765625023,0.521802322755166,0.516693897108158,5,forte,Quinto,984.6831
1791,32.86086425781252,0.4571947254051741,7.621502652983896,1,forte,Primeiro,981.3404
2077,40.2897888183594,0.4484441359406491,9.79507456308953,8,forte,Oitavo,979.8581
2079,31.343774414062523,0.4895163313427374,10.478127186515204,1,forte,Primeiro,981.7669
2125,31.488916015625023,0.5107745304136168,6.891778843726448,3,forte,Terceiro,984.3209
2352,26.835870361328148,0.5053340910720526,7.364948082160988,1,forte,Primeiro,983.7425
2353,26.8847595214844,0.5077044377985318,7.017360287618419,1,forte,Primeiro,984.8444
2357,33.94588623046877,0.4898926329673407,12.401095552233926,8,forte,Oitavo,986.82195
2358,36.93255004882815,0.4767649752811679,10.912026302343365,8,forte,Oitavo,986.2691
2359,39.88826904296877,0.4669838604086845,9.165942741188,8,muito_forte,Oitavo,985.9797
2360,40.91304931640627,0.4555077283864335,8.696646485271827,7,forte,Sétimo,984.9947
2361,40.60543212890627,0.4524418506905198,8.298415477842338,7,forte,Sétimo,983.9109
2362,39.71706542968752,0.4550927946373676,6.716286400137438,7,forte,Sétimo,982.632
2363,37.73671875000002,0.4613788641660165,6.519862250867408,7,forte,Sétimo,982.12414
2364,26.746606445312523,0.5094395304191697,7.109690438988662,1,forte,Primeiro,985.5951
2365,35.85091552734377,0.4635321304959846,5.508088076880404,7,forte,Sétimo,981.7503
2369,26.446405029296898,0.5113474040637457,6.770248300925568,1,forte,Primeiro,985.7768
2370,25.982812500000023,0.5131902555079109,6.3356252349011415,1,forte,Primeiro,985.6297
2413,35.19619140625002,0.499923872088619,3.69445874898674,3,forte,Terceiro,984.6742
