,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat
323,33.15340576171877,0.448288965841519,8.414426948376839,1.0,muito_forte,0.0185483942601674,Primeiro
450,25.247460937500023,0.5227706489361491,2.170826872290816,2.0,forte,0.012046661255741,Segundo
732,25.677758789062523,0.5256462488934925,2.5109422038294773,1.0,forte,0.0144595294279022,Primeiro
737,25.308984375000023,0.5282684700241336,2.2066229502496277,8.0,forte,0.0119874710002726,Oitavo
911,23.7614685058594,0.4797348154202152,8.764837870777354,8.0,forte,0.0111973626182065,Oitavo
1034,22.509423828125023,0.5252465207704681,1.1649434638253537,8.0,forte,0.0119856267146971,Oitavo
1338,23.878991699218773,0.5122396063165957,4.352181237511496,2.0,forte,0.0117315554811611,Segundo
1339,23.266137695312523,0.5170266299174126,4.446185463201728,1.0,forte,0.0110268445677783,Primeiro
1414,20.232995605468773,0.5095133480366243,2.38358124689983,8.0,forte,0.0137264416723098,Oitavo
1678,14.960443115234398,0.5071431963623704,2.41803483730957,1.0,forte,0.0106994154370526,Primeiro
1813,27.751977539062523,0.5104672946777309,12.805973117278645,5.0,forte,0.0109555882550453,Quinto
1848,26.586785888671898,0.520930129030261,1.089907132735979,5.0,forte,0.0106252380226989,Quinto
1885,29.573999023437523,0.4970561290626115,5.551071356383339,3.0,forte,0.0117864614893962,Terceiro
1886,28.474908447265648,0.5078677181070893,8.385661347339889,2.0,forte,0.0114362660852665,Segundo
1898,19.409570312500023,0.5146080176999986,7.683576080536519,8.0,forte,0.0128785549142682,Oitavo
1919,20.139978027343773,0.5057663953984836,7.525773949286924,8.0,forte,0.0106086079976162,Oitavo
2196,24.51094970703128,0.4955555406667624,1.7680543920935243,4.0,forte,0.0147850707822068,Quarto
2258,22.82296142578128,0.5266538112167516,1.918232192284646,8.0,forte,0.0123053151100713,Oitavo
2277,23.296533203125023,0.5241620515190711,2.49512433865114,2.0,forte,0.0131062348142679,Segundo
2278,23.384179687500023,0.5230736309187916,1.6636176606763122,2.0,forte,0.0102556000723087,Segundo
2305,28.368676757812523,0.5076032636239745,1.9502680397121952,2.0,forte,0.0117096160725928,Segundo
2322,27.168847656250023,0.5175200483766516,2.402219990478734,8.0,forte,0.0101630938361536,Oitavo
2325,26.378320312500023,0.5239835062793234,1.7331623353058796,1.0,forte,0.0107225369204676,Primeiro
2522,13.719110107421898,0.5143858039848705,3.63069508518417,8.0,muito_forte,0.0177431887273466,Oitavo
2542,15.346582031250025,0.4991974018463896,2.226435475465483,1.0,muito_forte,0.0168694948352137,Primeiro
2543,14.302941894531273,0.5081477648048293,3.5760527533593742,1.0,extremo,0.0248537396399081,Primeiro
2566,23.537042236328148,0.5167066009635896,2.697659720075581,3.0,forte,0.0127729767179325,Terceiro
2665,21.314782714843773,0.5022631920476475,7.415796735389953,3.0,forte,0.0100008147720823,Terceiro
2682,20.188867187500023,0.5122261514800893,3.7943381831183642,2.0,muito_forte,0.0152496849015114,Segundo
2683,20.871118164062523,0.5034650483528927,2.217808000050855,1.0,extremo,0.0243499180738527,Primeiro
2684,20.795556640625023,0.504051457276957,1.4614324563814274,2.0,muito_forte,0.0158727961562733,Segundo
2685,20.58394775390628,0.5070149574781595,2.1443614856564572,1.0,extremo,0.0202754418946044,Primeiro
2686,20.228143310546898,0.5099545371910688,2.9690891203938117,2.0,extremo,0.0277201018787633,Segundo
2687,18.92989501953128,0.5210690617925197,4.337555795175513,2.0,forte,0.0146630530584371,Segundo
2810,15.740991210937525,0.5083301953152393,9.20968354704071,5.0,forte,0.0115374010357393,Quinto
2827,17.442407226562523,0.5063369919790316,7.242850484431274,5.0,forte,0.0124864445345495,Quinto
2828,16.879846191406273,0.5090731334318555,7.5531035392616745,5.0,forte,0.0144622557451579,Quinto
2829,16.577600097656273,0.5106133127063593,7.888133474589225,5.0,muito_forte,0.0165810152767049,Quinto
2830,16.258325195312523,0.5107023739674564,8.462455603458528,5.0,muito_forte,0.0159563504998969,Quinto
2831,16.007714843750023,0.5097800288150416,8.799752223299025,5.0,forte,0.014230164734027,Quinto
2834,22.507440185546898,0.5111871855006986,2.5831757782838842,2.0,extremo,0.0243551741462657,Segundo
2855,23.00020751953128,0.5078546766364952,1.969563792581004,2.0,muito_forte,0.0158666940530546,Segundo
3325,29.212243652343773,0.502009840112775,6.7780377744467755,3.0,forte,0.0108885341732851,Terceiro
3409,27.147973632812523,0.4559236124228033,3.269809089784064,2.0,muito_forte,0.0155561117073851,Segundo
3571,24.124627685546898,0.5394765977176764,1.9704407579162808,2.0,forte,0.0113483506997474,Segundo
3692,16.521569824218773,0.5075856198105642,2.304158613266035,7.0,muito_forte,0.0155456638983799,Sétimo
3693,16.020471191406273,0.5110002067880044,2.6664518375308406,8.0,extremo,0.0312224229258782,Oitavo
