,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat,NDVI
53,21.71309814453128,0.4769501700731706,7.387342697840314,1,forte,0.0101896808774447,Primeiro,0.3189396
60,32.29177246093752,0.4681820819000768,9.133717073338659,1,forte,0.0109582602468281,Primeiro,0.41929862
109,23.385400390625023,0.5118101840425314,2.281553267336864,3,muito_forte,0.0174271734583403,Terceiro,0.431238
110,22.739038085937523,0.5158445050207243,2.0496728490225595,2,muito_forte,0.0180565690726981,Segundo,0.431238
135,28.35640869140628,0.466725930544543,7.084406333571878,1,forte,0.0104248190508201,Primeiro,0.38854554
136,27.90035400390628,0.4679186009747508,7.816249756933628,1,forte,0.0113068461687007,Primeiro,0.38854554
137,27.938562011718773,0.464594957547694,8.620844754426756,8,forte,0.0131334686812622,Oitavo,0.38854554
138,27.91451416015628,0.4615918285953039,10.275101399856755,8,forte,0.0126252033417959,Oitavo,0.38854554
156,32.42141113281252,0.4707716535494626,13.040334046545675,8,muito_forte,0.0168362060917713,Oitavo,0.40481812
194,35.02202758789065,0.4241317888258024,5.947206314993838,2,forte,0.0138976500211775,Segundo,0.3930368
195,32.61995849609377,0.4486625339040715,10.905806517719718,2,forte,0.014979274667765,Segundo,0.3930368
227,32.8709655761719,0.448160499240073,13.273172022916604,2,forte,0.0123580700398986,Segundo,0.39323124
233,25.635827636718773,0.5103239319538441,2.549406533185478,1,forte,0.0100004142088148,Primeiro,0.39323124
236,15.451898193359398,0.5216391597490413,3.1496421450176686,2,extremo,0.031418985670476,Segundo,0.40584671
243,17.250726318359398,0.511113626926924,3.5064780163168336,1,extremo,0.0460822715999904,Primeiro,0.40584671
244,16.439294433593773,0.5162609218354133,3.633252940565936,1,extremo,0.0465022584301406,Primeiro,0.40584671
245,15.872216796875025,0.5195616212967353,3.213821192751955,1,extremo,0.0380986160577673,Primeiro,0.40584671
271,21.3793884277344,0.4794667926566209,6.7613815173276235,4,forte,0.0101250791404947,Quarto,0.40591967
277,17.697717285156273,0.502867632954732,5.499935790199877,2,forte,0.0112711795150178,Segundo,0.40591967
286,34.2874694824219,0.4405333593475192,8.716492641002388,2,forte,0.0126554624939016,Segundo,0.3911111
311,27.244470214843773,0.4652695104050574,2.6775403658880244,1,muito_forte,0.0159833175425978,Primeiro,0.3967368
314,32.17885742187502,0.406943597192504,5.190420078614896,4,forte,0.0106174158588815,Quarto,0.3967368
318,24.885064697265648,0.471870700575578,9.22386380909514,5,forte,0.0128038664714961,Quinto,0.3967368
319,24.598535156250023,0.4708878028259006,9.879343678693505,5,muito_forte,0.0163105811904869,Quinto,0.3967368
341,27.231774902343773,0.4249574883467009,9.64464746448174,8,forte,0.0100718327728778,Oitavo,0.34083933
342,27.035272216796898,0.4267221503720869,9.900796436062851,8,forte,0.0103742512375003,Oitavo,0.34083933
343,26.709375000000023,0.4302129498522412,9.763490098490015,8,forte,0.0100830399456403,Oitavo,0.34083933
369,26.886010742187523,0.439265791907587,4.22352488885496,2,extremo,0.0256894488849953,Segundo,0.396348
370,26.397241210937523,0.4416110118962068,3.9468247102886993,3,extremo,0.0314419261783831,Terceiro,0.396348
371,26.218408203125023,0.4417995430731151,3.449663623561772,4,muito_forte,0.0186166137294931,Quarto,0.396348
